Year,Item,Item Code (CPC),Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha
1964,"Seed cotton, unginned",1921.01,57830.0,9795.0,1694.0
1964,Sesame seed,1444,1041.0,406.0,3900.0
1964,Sorghum,114,172000.0,190000.0,11047.0
1964,Sugar cane,1802,18372.0,690900.0,376061.0
1964,Sunflower seed,1445,2954.0,3251.0,11005.0
1964,Sweet potatoes,1530,26500.0,170000.0,64151.0
1964,Tea leaves,1620,23062.0,20241.0,8777.0
1964,Tomatoes,1234,2230.0,35000.0,156951.0
1964,Unmanufactured tobacco,1970,379.0,504.0,13298.0
1964,Wheat,111,112500.0,134700.0,11973.0
1965,Apricots,1343,2.0,10.0,50000.0
1965,Avocados,1311,1100.0,16000.0,145455.0
1965,Bananas,1312,40000.0,400000.0,100000.0
1965,Barley,115,9308.0,13107.0,14081.0
1965,"Beans, dry",1701,115000.0,55000.0,4783.0
1965,"Beer of barley, malted",24310.01,,49460.0,
1965,"Cashew nuts, in shell",1372,26000.0,9000.0,3462.0
1965,"Cassava, fresh",1520.01,59000.0,460000.0,77966.0
1965,Castor oil seeds,1447,14000.0,5200.0,3714.0
1965,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3400.0,2700.0,7941.0
1965,"Coconuts, in shell",1460,17000.0,65000.0,38235.0
1965,"Coffee, green",1610,83000.0,39300.0,4735.0
1965,"Cotton lint, ginned",1921.02,,4166.0,
1965,Cotton seed,143,,9140.0,
1965,Cottonseed oil,2168,,1046.89,
1965,Dates,1314,200.0,600.0,30000.0
1965,Green garlic,1252,7.0,100.0,142857.0
1965,"Groundnuts, excluding shelled",142,6200.0,3700.0,5968.0
1965,Linseed,1441,240.0,240.0,10000.0
1965,Maize (corn),112,1214000.0,1300530.0,10713.0
1965,"Mangoes, guavas and mangosteens",1316,200.0,600.0,30000.0
1965,Millet,118,75000.0,130000.0,17333.0
1965,Oats,117,5180.0,1321.0,2550.0
1965,"Onions and shallots, dry (excluding dehydrated)",1253.02,231.0,2015.0,87229.0
1965,Oranges,1323,2000.0,7000.0,35000.0
1965,Papayas,1317,2900.0,30000.0,103448.0
1965,Pineapples,1318,1200.0,33000.0,275000.0
1965,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1965,Pomelos and grapefruits,1321,500.0,3300.0,66000.0
1965,Potatoes,1510,27000.0,190000.0,70370.0
1965,"Pyrethrum, dried flowers",1930.02,20000.0,6256.0,3128.0
1965,Rice,113,2482.0,14100.0,56809.0
1965,"Seed cotton, unginned",1921.01,57466.0,13647.0,2375.0
1965,Sesame seed,1444,2870.0,1118.0,3895.0
1965,Sorghum,114,150000.0,163000.0,10867.0
1965,Sugar cane,1802,18300.0,607700.0,332077.0
1965,Sunflower seed,1445,2954.0,3251.0,11005.0
1965,Sweet potatoes,1530,27000.0,180000.0,66667.0
1965,Tea leaves,1620,24756.0,19823.0,8007.0
1965,Tomatoes,1234,2280.0,36000.0,157895.0
1965,Unmanufactured tobacco,1970,477.0,382.0,8008.0
1965,Wheat,111,113800.0,172200.0,15132.0
1966,Apricots,1343,2.0,10.0,50000.0
1966,Avocados,1311,1100.0,16000.0,145455.0
1966,Bananas,1312,40000.0,400000.0,100000.0
1966,Barley,115,8943.0,14428.0,16133.0
1966,"Beans, dry",1701,115000.0,55000.0,4783.0
1966,"Beer of barley, malted",24310.01,,50088.0,
1966,"Cashew nuts, in shell",1372,28000.0,9900.0,3536.0
1966,"Cassava, fresh",1520.01,60000.0,470000.0,78333.0
1966,Castor oil seeds,1447,18000.0,7100.0,3944.0
