Region,Item,Year,season_name,area,production,yield,yield_hg_per_ha,Temperature - (Celsius),Rainfall - (MM),pesticides_hg_per_ha
Bungoma,Wheat,2019,Annual,134.0,415.5,3.1007462686567164,31007.462686567163,25.118588141025644,657.6096580769231,43.080595987206024
Bungoma,Wheat,2020,Annual,59.5,151.0,2.53781512605042,25378.1512605042,25.118588141025644,657.6096580769231,45.40991098746764
Busia,Maize,2000,Annual,23172.0,26326.9126912691,1.1361519373066242,11361.519373066243,24.904749999999996,448.51506,36.47101401727676
Busia,Maize,2000,Long,12450.0,14566.5,1.17,11700.0,24.95515,243.4279,36.1191894260148
Busia,Maize,2001,Annual,27588.0,37265.16651665,1.35077448588698,13507.744858869799,25.095758333333333,622.51956,34.20355998033883
Busia,Maize,2001,Long,13000.0,15210.0,1.17,11700.0,24.650216666666665,320.875,36.86063167002998
Busia,Maize,2002,Annual,26303.54052442,43558.31115249,1.6559866194458046,16559.866194458045,25.478066666666667,780.8529000000001,36.97950684899466
Busia,Maize,2003,Annual,17323.0,22815.66156616,1.317073345619119,13170.73345619119,25.45435833333333,616.82425,37.7989009924738
Busia,Maize,2004,Annual,24352.0,47848.78487849,1.9648811136042212,19648.81113604221,25.31244166666667,552.587,39.731106219918054
Busia,Maize,2005,Annual,39570.0,51865.43654365,1.310726220461208,13107.26220461208,25.32981666666667,434.6067,41.423993000739316
Busia,Maize,2012,Annual,45898.0,63229.5,1.3776090461458015,13776.090461458014,25.24515,756.213,40.809820576995854
Busia,Maize,2013,Annual,50400.0,72661.68,1.4416999999999998,14416.999999999998,25.182175,769.6913999999999,39.37467525984489
Busia,Maize,2014,Annual,50781.0,86526.0,1.703905003840019,17039.05003840019,25.41145,614.6785,43.07289495359118
Busia,Maize,2015,Annual,38441.0,36631.0,0.9529148565333888,9529.148565333888,25.537633333333332,771.9757,42.28319159038874
Busia,Maize,2015,Long,35695.0,69200.0,1.9386468693094272,19386.468693094273,25.183083333333332,395.9493,44.10327159225561
Busia,Maize,2016,Annual,31962.0,51483.0,1.6107565233715038,16107.565233715037,25.756608333333332,715.2022,42.74934275126367
Busia,Maize,2016,Long,35230.0,66797.1,1.8960289525972185,18960.289525972184,25.4447,362.85080000000005,45.03198152767687
Busia,Maize,2017,Annual,33122.0,53629.0,1.6191353179155847,16191.353179155847,25.118588141025644,657.6096580769231,43.43844638911774
Busia,Maize,2017,Long,31000.0,36000.0,1.1612903225806452,11612.903225806453,24.90115897435897,347.44985384615387,45.85490763268753
Busia,Maize,2018,Annual,61850.0,67445.0,1.0904607922392886,10904.607922392886,25.118588141025644,657.6096580769231,42.31374521659785
Busia,Maize,2018,Long,31000.0,41850.0,1.35,13500.0,24.90115897435897,347.44985384615387,43.207415750511174
Busia,Maize,2019,Annual,48150.0,69449.5,1.4423572170301142,14423.572170301142,25.118588141025644,657.6096580769231,41.97033550818831
Busia,Maize,2019,Long,30000.0,40500.0,1.35,13500.0,24.90115897435897,347.44985384615387,45.5119460996611
Busia,Maize,2020,Annual,33810.0,42028.0,1.243064182194617,12430.641821946168,25.118588141025644,657.6096580769231,46.508076661180795
Busia,Maize,2020,Long,34000.0,50220.0,1.4770588235294118,14770.588235294117,24.90115897435897,347.44985384615387,43.732124567097856
Busia,Maize,2021,Long,31000.0,42090.3,1.3577516129032259,13577.51612903226,24.90115897435897,347.44985384615387,46.270776037823566
Busia,Maize,2022,Long,31000.0,43747.2,1.4112,14112.0,24.90115897435897,347.44985384615387,47.81135340036723
Busia,Rice,2012,Annual,964.0,1947.0,2.0197095435684647,20197.095435684645,25.24515,756.213,40.31916934129393
Busia,Rice,2013,Annual,964.0,1947.0,2.0197095435684647,20197.095435684645,25.182175,769.6913999999999,41.49746123206583
Busia,Rice,2014,Annual,1428.0,5715.0,4.0021008403361344,40021.008403361346,25.41145,614.6785,41.91029567304425
Busia,Rice,2015,Annual,1352.0,5357.0,3.962278106508876,39622.78106508876,25.537633333333332,771.9757,41.70330318877568
Busia,Rice,2016,Annual,2268.8,1892.0,0.8339210155148096,8339.210155148096,25.756608333333332,715.2022,45.94348822295959
